soubor;technologie;materialy;vynucene;pozn
;;;;"Ktera databaze receptur patri ke ktere technologii. Vic technologii oddelte carkou."
;;;;"Prazdne technologie = databaze plati vsude. Soubor prepise nastaveni v prohlizeci."
;;;"vynucene = slozka predepsana radou do KAZDE receptury (lak, katalyzator). Tvar Nazev=procenta, vic oddelte |. Podil je z vahy barvy, napr. Lak PP=10|Verdunner=5.";"materialy = na jake materialy jde tenhle typ barvy, carkou: Kov, ABS, Sklo. Udaj od vyrobce barvy."
;;;;"Prazdne materialy = zatim neurceno, typ se nabizi bez omezeni. Nazvy piste jako v katalogu produktu, na velikosti pismen a diakritice nezalezi."
receptury_Ferro_Xpresssion.csv;FIR;;;"Ferro Xpression - vypalovani, nizka teplota"
receptury_PMS_786.csv;PDP;;;"Printcolor Mischsystem MS 786 - tampontisk"
receptury_PMS_660.csv;TXP,PDP,SCR;;;"Printcolor Mischsystem MS 660 - textil, tampontisk, sitotisk"
receptury_vlastni.csv;;;;"vlastni receptury dilny - plati ve vsech technologiich"
receptury_RUCOLOR_10KK.csv;PDP,SCR;;;"RUCOINX RUCOLOR 10KK (B) - sitotisk na bily podklad"
receptury_Marabu_TPR.csv;PDP;;;"Marabu TampaStar TPR - tampontisk, PANTONE na bilem podkladu, standardni i vysoce kryci baze"
receptury_Marabu_PP.csv;PDP,SCR;;;"Marabu MaraProp PP (PP new) - tampontisk i sitotisk na polypropylen, PANTONE na bilem podkladu; kazdy panton dvakrat: tampon a sito 120-34"
receptury_Marabu_LIP.csv;SCR;;;"Marabu LibraPrint LIP - sitotisk, PANTONE na bilem podkladu, sito 120-34 (100-40)"
;vynucene;;
