pantone;hex;zdroj
PANTONE COOL GRAY 1 C;D9D9D6;colorxs.com
PANTONE WARM GRAY 1 C;D7D2CB;colorxs.com
PANTONE WARM GRAY 1 U;E5E0D9;hextopms.com
PANTONE BLACK 2 C;332F21;colorxs.com
PANTONE COOL GRAY 2 C;D0D0CE;colorxs.com
PANTONE COOL GRAY 2 U;D5D3D0;hextopms.com
PANTONE WARM GRAY 2 C;CBC4BC;colorxs.com
PANTONE BLACK 3 C;212721;colorxs.com
PANTONE COOL GRAY 3 C;C8C9C7;colorxs.com
PANTONE BLACK 4 C;31261D;colorxs.com
PANTONE COOL GRAY 4 C;BBBCBC;colorxs.com
PANTONE WARM GRAY 4 C;B6ADA5;colorxs.com
PANTONE BLACK 5 C;3E2B2E;colorxs.com
PANTONE COOL GRAY 5 C;B1B3B3;colorxs.com
PANTONE COOL GRAY 5 U;ACADAE;hextopms.com
PANTONE WARM GRAY 5 C;ACA39A;colorxs.com
PANTONE BLACK 6 C;101820;colorxs.com
PANTONE COOL GRAY 6 C;A7A8AA;colorxs.com
PANTONE WARM GRAY 6 C;A59C94;colorxs.com
PANTONE BLACK 7 C;3D3935;colorxs.com
PANTONE COOL GRAY 7 C;97999B;colorxs.com
PANTONE COOL GRAY 7 U;98999B;hextopms.com
PANTONE WARM GRAY 7 C;968C83;colorxs.com
PANTONE COOL GRAY 8 C;888B8D;colorxs.com
PANTONE COOL GRAY 8 U;8F9194;hextopms.com
PANTONE WARM GRAY 8 C;8C8279;colorxs.com
PANTONE COOL GRAY 9 C;75787B;colorxs.com
PANTONE COOL GRAY 9 U;85868A;hextopms.com
PANTONE WARM GRAY 9 C;83786F;colorxs.com
PANTONE COOL GRAY 10 C;63666A;colorxs.com
PANTONE WARM GRAY 10 C;796E65;colorxs.com
PANTONE COOL GRAY 11 C;53565A;colorxs.com
PANTONE WARM GRAY 11 C;6E6259;colorxs.com
PANTONE YELLOW 012 C;FFD700;colorxs.com
PANTONE YELLOW 012 U;FFDB00;hextopms.com
PANTONE ORANGE 021 C;FE5000;colorxs.com
PANTONE ORANGE 021 U;FF7533;hextopms.com
PANTONE RED 032 C;EF3340;colorxs.com
PANTONE BLUE 072 C;10069F;colorxs.com
PANTONE BLUE 072 U;3546A6;hextopms.com
PANTONE 100 C;F6EB61;colorxs.com
PANTONE 101 C;F7EA48;colorxs.com
PANTONE 102 C;FCE300;colorxs.com
PANTONE 102 U;FFEC2D;columbiaomnistudio.com
PANTONE 103 C;C5A900;colorxs.com
PANTONE 104 C;AF9800;colorxs.com
PANTONE 105 C;897A27;colorxs.com
PANTONE 106 C;F9E547;colorxs.com
PANTONE 107 C;FBE122;colorxs.com
PANTONE 107 U;FFE552;columbiaomnistudio.com
PANTONE 108 C;FEDB00;colorxs.com
PANTONE 109 C;FFD100;colorxs.com
PANTONE 109 U;FFC700;columbiaomnistudio.com
PANTONE 110 C;DAAA00;colorxs.com
PANTONE 111 C;AA8A00;colorxs.com
PANTONE 112 C;9C8412;colorxs.com
