technologie;sito;nitky_cm;vlakno_um;otevrena_plocha_pct;tloustka_um;vth_cm3_m2;prenos;hloubka_um;viskozita_od;viskozita_do;poharek;pozn;vychozi;produkty;cara_od_mm;cara_do_mm
;;;;;;;;;;;;"Vyplnte podle datoveho listu tkaniny (Sefar/Saati). Prazdne = dopocet z nazvu sita, jen orientacne.";;;;
;;;;;;;;;;;;"SITO PODLE CARY: cara_od_mm a cara_do_mm = nejtensi cara motivu v mm, kterou toto sito jeste cisteji vytiskne (od, vcetne) a od ktere uz je zbytecne jemne (do, bez). Aplikace zmeri nejtensi caru loga z nahledu PDF a sito podle mezi predvybere v rozpisu separaci; radek bez mezi se do pravidla nepocita. Prazdne u vsech sit = pravidlo se nepouziva a sito se uci z evidence/mereni_loga.csv.";;;;
;;;;;;;;;;;;"SCR - sitotisk na plast a papir drzi techto pet sit (zadani dilny 17. 9. 2026; do te doby 26 sit standardni rady). Sito je na vyber jako u textilu, sloupce vychozi a produkty zamerne prazdne.";;;;
SCR;54-64;54;64;;;;;;;;;;;;;
SCR;77-55;77;55;;;;;;;;;;;;;
SCR;100-40;100;40;;;;;;;;;;;;;
SCR;120-34;120;34;;;;;;;;;;;;;
SCR;130-34;130;34;;;;;;;;;;;;;
;;;;;;;;;;;;"FIR - vypalovaci dilna drzi jen tyto dve site (zadani dilny 2026-09-10).";;;;
FIR;100-40;100;40;;;;;;;;;;;;;
FIR;130-34;130;34;;;;;;;;;;;;;
;;;;;;;;;;;;"SITO PODLE PRODUKTU: vychozi = ano oznaci sito, ktere technologie pouziva u vsech produktu bez vlastniho radku. produkty = ref produktu oddelene carkou, ktere jedou na tomto situ. Kalkulace sito doplni sama, jakmile je vybrany produkt, a dlazdice pak neni na vyber. Prazdne sloupce = sito se u technologie vybira z jejich radku.";;;;
TXP;54-64;54;64;;;;;;;;;"textil - sito na vyber (do 16. 9. 2026 vychozi pro vsechny produkty)";;;;
TXP;90-40;90;40;;;;;;;;;"textil - jemnejsi sito na vyber (do 16. 9. 2026 90-48 pro 92850,92833,92931,92874,92871,92925,92906,92930,92910; dilna 16. 9. 2026 rozhodla, ze sito u textilu je volba)";;;;
;;;;;;;;;;;;"TRS - transferova dilna drzi tato ctyri sita (zadani dilny 16. 9. 2026). Sito je na vyber jako u textilu, sloupce vychozi a produkty zamerne prazdne.";;;;
TRS;54-64;54;64;;;;;;;;;;;;;
TRS;68-55;68;55;;;;;;;;;;;;;
TRS;90-40;90;40;;;;;;;;;;;;;
TRS;120-34;120;34;;;;;;;;;;;;;
;;;;;;;;;;;;"KLISE PRO TAMPONTISK: radek s technologii PDP a vyplnenou hloubkou leptu. Hloubka v um se rovna teoretickemu objemu v cm3/m2.";;;;
PDP;klise 18 um;;;;;;;18;;;;"vzor - upravte oznaceni i hloubku dle sveho leptu";;;;
PDP;klise 25 um;;;;;;;25;;;;;;;;
